全国地方公共団体コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
232050,2020,7,1,わかめごはん,さばのおろしかけ,五目きんぴら,湯葉と豆腐のすまし汁,,,,牛乳,675,842
232050,2020,7,2,ミルクロールパン,★いかフライのレモンソース,ツナと野菜のマリネ,鶏肉とペンネのトマト煮,,,,牛乳,755,926
232050,2020,7,3,ごはん,★ぎょうざ(３こ),チンジャオロース,中華スープ,★蒲郡みかんプチゼリー,,,牛乳,623,818
232050,2020,7,4,,,,,,,,,,
232050,2020,7,5,,,,,,,,,,
232050,2020,7,6,ごはん,★いわしの八丁みそ煮,かりもりとひじきの和え物,肉じゃが,,,,牛乳,719,895
232050,2020,7,7,中華めん,七夕中華スープ,★肉団子のあんかけ,切り干し大根のナムル,★七夕ゼリー,,,牛乳,676,809
232050,2020,7,8,ごはん,★枝豆コロッケ,ゴーヤチャンプル,かぼちゃのみそ汁,,,,牛乳,649,805
232050,2020,7,9,クロスロールパン,鶏肉のハーブ焼き,夏野菜のトマトスパゲティ,★フルーツのゼリーよせ,キャンディチーズ,,,牛乳,742,933
232050,2020,7,10,麦ごはん,ツナそぼろごはんの具,なすと豚肉のみそ炒め,とうがん汁,,,,牛乳,665,826
232050,2020,7,11,,,,,,,,,,
232050,2020,7,12,,,,,,,,,,
232050,2020,7,13,ごはん,★ごぼう入りつくね,キャベツのゆかり和え,親子煮,,,,牛乳,605,772
232050,2020,7,14,ごはん,さけのトマトソースかけ,野菜とわかめの和え物,オニオンスープ,★ももゼリー,,,牛乳,594,735
232050,2020,7,15,ナン,愛知ビーフのカレービーンズ,フランクフルトのケチャップソース,コーンサラダ,★ココア牛乳の素,,,牛乳,702,859
232050,2020,7,16,ごはん,★ししゃもフライの南蛮漬け,きゅうりの塩昆布和え,大根と豚肉の煮物,,,,牛乳,636,818
232050,2020,7,17,麦ごはん,ビビンバ（肉）,ビビンバ（ナムル）,わかめスープ,ヨーグルト,,,牛乳,652,816
232050,2020,7,18,,,,,,,,,,
232050,2020,7,19,,,,,,,,,,
232050,2020,7,20,ごはん,★春巻き,八宝菜,発酵乳,,,,牛乳,680,835
232050,2020,7,21,ごはん,★いわしの梅煮,キャベツのみそ汁,★蒲郡みかんゼリー,,,,牛乳,657,811
232050,2020,7,22,スライスパン,★チキン竜田揚げ,ミネストローネ,りんごジャム,,,,牛乳,615,759
232050,2020,7,23,,,,,,,,,,
232050,2020,7,24,,,,,,,,,,
232050,2020,7,25,,,,,,,,,,
232050,2020,7,26,,,,,,,,,,
232050,2020,7,27,クロワッサン,★ハンバーグのデミソース,野菜スープ,★豆乳パンナコッタ,,,,牛乳,655,753
232050,2020,7,28,ごはん,★さばの銀紙焼き,けんちん汁,★一口ピーチゼリー,,,,牛乳,594,757
232050,2020,7,29,ロールパン,ビーフシチュー,小松菜とエリンギのソテー,いちごジャム,,,,牛乳,650,801
232050,2020,7,30,ごはん,切り干しそぼろどんの具,チンゲンサイのみそ汁,★味付き乾燥豆腐,,,,牛乳,601,746
232050,2020,7,31,ごはん,マーボー豆腐,春雨の野菜炒め,★アーモンド入り小魚,,,,牛乳,643,805
