全国地方公共団体コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
232050,2020,10,1,ごはん,★ハンバーグオニオンソース,五目きんぴら,なすのみそ汁,★月見団子,,,牛乳,765,938
232050,2020,10,2,ナン,カレービーンズ,れんこんチップス,ほうれん草サラダ,,,,牛乳,656,801
232050,2020,10,3,,,,,,,,,,
232050,2020,10,4,,,,,,,,,,
232050,2020,10,5,ごはん,★ぎょうざ,野菜のナムル,マーボー豆腐,,,,牛乳,685,872
232050,2020,10,6,ソフトめん,肉みそかけ,元気サラダ,★フルーツポンチ,,,,牛乳,690,854
232050,2020,10,7,ごはん,鮭の塩焼き,ブロッコリーのおかか和え,親子煮,,,,牛乳,649,830
232050,2020,10,8,ごはん,★かつおフライ,きゅうりとたくあんの和え物,きのこのみそ汁,★アーモンド入り小魚（中学校のみ）,,,牛乳,612,834
232050,2020,10,9,スライスパン,★大豆入りナゲットケチャップソース,ごぼうサラダ,サウザンアイランドドレッシング,豆乳コーンクリームスープ,ブルーベリージャム,,牛乳,749,940
232050,2020,10,10,,,,,,,,,,
232050,2020,10,11,,,,,,,,,,
232050,2020,10,12,ごはん,チキンライスの具,★オムレツのデミソース,野菜とウィンナーのポトフ,,,,牛乳,655,812
232050,2020,10,13,ごはん,★さんまの塩焼き,切り干し大根の甘酢和え,すいとん,,,,牛乳,653,819
232050,2020,10,14,くろロールパン,フランクフルトバーベキューソース,イタリアンサラダ,ポークシチュー,,,,牛乳,673,839
232050,2020,10,15,ごはん,★いかフライ,生揚げとキャベツのオイスターソース炒め,わかめスープ,,,,牛乳,649,808
232050,2020,10,16,ごはん,栗ごはんの具,★さばの銀紙焼き,けんちん汁,,,,牛乳,642,801
232050,2020,10,17,,,,,,,,,,
232050,2020,10,18,,,,,,,,,,
232050,2020,10,19,ごはん,★和風コロッケ,キャベツのゆかり和え,かきたま汁,,,,牛乳,604,750
232050,2020,10,20,中華麺,五目中華スープ,★しゅうまい,ひじきの中華和え,★蒲郡みかんゼリー（中学校のみ）,,,牛乳,578,766
232050,2020,10,21,ごはん,鶏肉とさつまいものピリカラ,豚汁,りんご,,,,牛乳,624,775
232050,2020,10,22,ごはん,★いわしの梅煮,野菜とわかめの和え物,肉じゃが,,,,牛乳,653,819
232050,2020,10,23,ミルクロール,★ロールキャベツ,れんこんサラダ,コーンクリーミードレッシング,ポークビーンズ,,,牛乳,638,774
232050,2020,10,24,,,,,,,,,,
232050,2020,10,25,,,,,,,,,,
232050,2020,10,26,麦ごはん,ビビンバ（にく）,ビビンバ（ナムル）,キムチはるさめスープ,ヨーグルト,,,牛乳,666,830
232050,2020,10,27,ごはん,★ししゃもフライのナッツ入り香味ソース,ひじきの炒め煮,おもちのすまし汁,,,,牛乳,658,787
232050,2020,10,28,ごはん,ハヤシライス,鶏肉のハーブ焼き,コールスローサラダ,,,,牛乳,644,800
232050,2020,10,29,ごはん,★けんちん信田くるみダレ,小松菜とかつおの和え物,さつま汁,,,,牛乳,667,825
232050,2020,10,30,愛知の米粉入りパン,ハムステーキ,ブロッコリーサラダ,オニオンスープ,,,,牛乳,635,736
